Peak Comparisons and Drift,,,,,,y-coor,x-coor,,,,,,,,,,
,,,,,bay,130-140,834,,,,-47,,,,,,
,,,,,base,173,862,,,,,,,,,,
,,,,,canal int,36,810,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,x-coor,y-coor,x-drift,y-drift,x-true,y-true,group,explosion,noise,potential min,potential max,peak 0-.3,peak .3-.5,peak .5-.6,peak .6-1,peak6.2,peak 6.3
02_313,834,2035,4,-56,830,2091,29,post,minimal,-1,1,,,,,0.8,
40_325,835,2047,4,-56,831,2103,29,post,minimal,-1,1,,,,0.6,0.7,
30_540,835,2050,4,-56,831,2106,29,post,minimal,-1,1,,,,0.6,0.7,
58_916,836,2054,4,-56,832,2110,29,post,minimal,-1,1,,,,0.6,0.7,
54_488,837,2058,4,-56,833,2114,29,post,minimal,-1,1,,,,0.6,0.7,
13_561,838,2063,4,-56,834,2119,29,post,minimal,-1,1,0.2,,,0.7,,
06_129,818,1978,2,-56,816,2034,30,post,little,0,1,0.18,,,0.68,0.76,
08_216,819,1980,2,-56,817,2036,30,post,a bit,0,1,0.18,,,0.68,,
58_018,820,1983,2,-56,818,2039,30,post,little,0,1,,0.45,,0.68,0.9,
31_800,830,2038,2,-56,828,2094,30,post,minimal,0,1,,,,,0.84,
37_887,834,2047,2,-56,832,2103,30,post,minimal,0,1,,,0.6,0.7,,
24_381,834,2050,2,-56,832,2106,30,post,minimal,0,1,,,0.6,0.7,,
12_473,835,2052,2,-56,833,2108,30,post,little,0,1,,,0.6,0.7,,
43_481,818,1981,2,-58,816,2039,31,post,minimal,-1,1,,,0.5,0.7,0.95,
23_508,821,1994,2,-58,819,2052,31,post,minimal,-1,1,,,0.5,0.75,0.9,
40_005,824,2003,2,-58,822,2061,31,post,minimal,-1,1,,,,,0.85,
28_189,825,2009,2,-58,823,2067,31,post,minimal,-1,1,,,,,0.85,
21_272,808,1882,2,-60,806,1942,32,post,little,-1,1,,,0.6,,,
18_049,809,1895,2,-60,807,1955,32,post,little,-1,1,,,0.55,,,
21_097,810,1898,2,-60,808,1958,32,post,little,-1,1,,,,0.65,,
39_506,810,1903,2,-60,808,1963,32,post,little,-1,1,,,,0.65,0.85,
06_195,811,1908,2,-60,809,1968,32,post,minimal,-1,1,,,0.6,0.75,,
01_984,811,1912,2,-60,809,1972,32,post,minimal,-1,1,,,,0.65,0.8,
49_802,812,1917,2,-60,810,1977,32,post,minimal,-1,1,,,0.6,0.75,0.9,
57_674,812,1921,2,-60,810,1981,32,post,minimal,-1,1,,,0.6,0.75,,
10_813,812,1924,2,-60,810,1984,32,post,minimal,-1,1,,,,0.7,0.75,
30_639,812,1928,2,-60,810,1988,32,post,minimal,-1,1,,,,0.655,0.725,
27_903,812,1930,2,-60,810,1990,32,post,minimal,-1,1,,,,0.75,,
03_806,812,1940,3,-58,809,1998,34,post,little,-1,1,,,,0.75,,
48_044,814,1947,3,-58,811,2005,34,post,little,-1,1,,,0.6,,,
33_084,815,1953,3,-58,812,2011,34,post,a bit,-1,1,,,0.6,0.65,,
13_427,817,1966,3,-58,814,2024,34,post,little,-1,1,,,,0.75,,
01_788,818,1970,3,-58,815,2028,34,post,little,-1,1,0.3,,,0.75,,
27_008,820,1976,3,-58,817,2034,34,post,little,-1,1,0.25,0.4,,0.65,,
55_714,821,1981,3,-58,818,2039,34,post,minimal,-1,1,,0.4,,0.65,0.9,
59_354,822,1986,3,-58,819,2044,34,post,minimal,-1,1,,0.4,,0.65,0.9,
50_264,818,1968,2,-68,816,2036,35,post,minimal,-1.5,1,,0.4,0.6,,,
28_454,820,1974,2,-68,818,2042,35,post,minimal,-1.75,1,,0.4,0.5,0.7,,
35_436,822,1980,2,-68,820,2048,35,post,little,-1.25,1,,0.4,0.6,0.7,0.45,0.9
44_341,823,1986,2,-68,821,2054,35,post,minimal,-1,1,,0.4,,,,
15_664,820,1974,3,-66,817,2040,36,post,minimal,-1.25,1,,0.4,0.5,0.6,0.7,
36_665,820,1975,3,-66,817,2041,36,post,little,-1.25,1,,0.4,0.5,0.7,0.95,
06_281,820,1976,3,-66,817,2042,36,post,little,-1.25,1,,0.4,0.5,0.7,,
20_561,820,1977,3,-66,817,2043,36,post,a bit,-1.25,1,,0.4,0.5,0.6,0.7,0.9
30_878,820,1978,3,-66,817,2044,36,post,a bit,-1.25,1,,0.4,,0.6,0.45,0.95
17_377,821,1980,3,-66,818,2046,36,post,a bit,-1.25,1,,0.4,,0.6,0.9,
58_600,818,1957,2,-68,816,2025,38,post,lots,0.2,1.2,,,,0.7,1.18,
22_229,819,1961,2,-68,817,2029,38,post,little,0.2,1.2,,,,0.68,1.18,
26_565,819,1962,2,-68,817,2030,38,post,a bit,0.2,1.2,,,,0.65,1.1,1.18
53_348,816,1954,2,-72,814,2026,39,post,minimal,-1.2,1.2,,,0.6,,,
50_618,817,1958,2,-72,815,2030,39,post,minimal,-1.2,1.2,,,0.6,,,
25_371,818,1962,2,-72,816,2034,39,post,minimal,-1.2,1.2,,,0.6,1.15,,
50_443,819,1966,2,-72,817,2038,39,post,little,-1.2,1.2,,0.4,,0.65,1.1,
44_600,820,1972,2,-72,818,2044,39,post,little,-1.2,1.2,,0.4,,,0.45,0.9
04_558,818,1957,2,-75,816,2032,40,post,little,0.2,1,,,,0.75,,
13_244,819,1964,2,-75,817,2039,40,post,minimal,0.2,1,,0.44,,0.62,,
11_909,821,1970,2,-75,819,2045,40,post,little,0.2,1,,0.43,,,,0.9
17_947,822,1976,2,-75,820,2051,40,post,minimal,0.2,1,,0.44,,0.62,,
36_983,824,1981,2,-75,822,2056,40,post,minimal,0.2,1,,,,,0.8,0.9
50_340,826,2013,-35,-101,861,2114,41,post,little,-1,1,,,,0.7,0.725,
26_937,826,2014,-35,-101,861,2115,41,post,little,-1,1,,,,0.7,,
26_761,827,2015,-35,-101,862,2116,41,post,little,-1,1,,,,0.7,,
05_854,827,2016,-35,-101,862,2117,41,post,little,-1,1,,,,0.675,0.8,
42_899,827,2017,-35,-101,862,2118,41,post,little,-1,1,,,,0.675,0.8,
,,,,,0,0,,post,,,,,,,,,
,,,,,0,0,,post,,,,,,,,,
,,,,,0,0,,post,,,,,,,,,
,,,,,0,0,,post,,,,,,,,,
,,,,,0,0,,post,,,,,,,,,
,,,,,0,0,,post,,,,,,,,,
,,,,,0,0,,post,,,,,,,,,
,,,,,0,0,,post,,,,,,,,,
